Feature,Importance
Customers_7931-PXHFC,0.000249195615504161
Customers_7317-GGVPB,0.0002491294572400836
TotalCharges_1716.45,0.0002490316577515184
TotalCharges_89.25,0.00024865102254365847
TotalCharges_229.6,0.00024829546034512497
TotalCharges_19.7,0.0002478636836251443
TotalCharges_74.9,0.0002475897956923457
TotalCharges_20.6,0.00024743821386063016
Customers_5876-HZVZM,0.0002468988282510531
Customers_9603-OAIHC,0.0002468423942559563
TotalCharges_4134.85,0.0002467556878503731
TotalCharges_19.85,0.00024664714491941074
TotalCharges_1625,0.0002465942175935646
Customers_1984-FCOWB,0.0002462789317963253
Customers_8631-NBHFZ,0.00024619943442929045
TotalCharges_3326.2,0.00024618244012100763
TotalCharges_6890,0.00024575351442530815
TotalCharges_2317.1,0.0002452927629234797
Customers_4361-BKAXE,0.00024449486551480793
TotalCharges_309.1,0.0002444777589852225
Customers_9831-BPFRI,0.00024433913018884613
TotalCharges_7723.9,0.0002442780560137988
TotalCharges_50.1,0.00024411413211677566
Customers_1041-RXHRA,0.00024402160071221768
Customers_9063-ZGTUY,0.00024388070030042963
TotalCharges_7532.15,0.00024381945581446247
Customers_1725-MIMXW,0.0002421336505147115
Customers_4106-HADHQ,0.00024161134492217595
Customers_4800-CZMPC,0.00024096991978026595
TotalCharges_45.85,0.00024071621657628154
Customers_6425-YQLLO,0.0002406946257863928
TotalCharges_156.25,0.0002405514653935774
Customers_4355-HBJHH,0.00024042076241775228
TotalCharges_5643.4,0.000240100571761009
TotalCharges_70.15,0.00023970413513539352
TotalCharges_51.15,0.00023967917876903063
Customers_4710-FDUIZ,0.00023926897610860288
Customers_3104-OWCGK,0.00023911979673076536
TotalCharges_1077.5,0.0002390545110011788
TotalCharges_1193.05,0.00023827311614485862
TotalCharges_1425.45,0.00023819487281429244
TotalCharges_5224.35,0.00023806427195879152
Customers_2225-ZRGSG,0.00023793528901947428
TotalCharges_6876.05,0.00023785557696031425
TotalCharges_6937.95,0.0002374891132634207
TotalCharges_409.9,0.00023747795154315234
Customers_0268-QKIWO,0.00023703412646087168
TotalCharges_58.15,0.0002360707671955535
TotalCharges_146.65,0.00023590177435013726
Customers_2262-SLNVK,0.00023578660041131933
Customers_1585-MQSSU,0.0002353721787296183
TotalCharges_2934.3,0.0002348564943573868
TotalCharges_3563.8,0.00023483138428213014
TotalCharges_2460.15,0.00023467109772347234
TotalCharges_2274.9,0.00023465503141479948
TotalCharges_1338.15,0.00023452349537071335
TotalCharges_1334,0.00023417492019345946
TotalCharges_973.55,0.00023372727215411194
Customers_8785-EPNCG,0.00023344782995805114
Customers_5440-FLBQG,0.000233268275459969
TotalCharges_1448.8,0.00023274032080581607
TotalCharges_20.05,0.00023273690553985145
TotalCharges_539.85,0.00023261514394354153
TotalCharges_1863.8,0.00023255827432265672
Customers_6214-EDAKZ,0.00023206860809047092
TotalCharges_7548.1,0.00023185621399365403
TotalCharges_2319.8,0.00023180142699766158
Customers_8040-MNRTF,0.0002309264013470322
TotalCharges_6615.15,0.00023066174658219055
Customers_4597-ELFTS,0.00023064201025019783
TotalCharges_4990.25,0.0002304791232892089
TotalCharges_6056.15,0.00023009794121475757
Customers_0348-SDKOL,0.0002293712201077278
TotalCharges_19.75,0.00022924535514828452
TotalCharges_2917.5,0.00022872260202647037
TotalCharges_302.35,0.00022859493900404787
TotalCharges_654.85,0.00022820867324997889
TotalCharges_5918.8,0.00022812637871836875
TotalCharges_6585.35,0.00022801902206003185
Customers_4088-YLDSU,0.0002275961493763003
Customers_6481-OGDOO,0.0002275259376570009
TotalCharges_374.5,0.00022707418033013848
TotalCharges_2499.3,0.00022700825668795597
Customers_0022-TCJCI,0.00022700526057813772
TotalCharges_214.75,0.0002268392069534771
Customers_4720-VSTSI,0.0002266024807128256
TotalCharges_1445.3,0.00022630527787924674
TotalCharges_6144.55,0.00022618266524099023
Customers_1193-RTSLK,0.00022616210397044165
Customers_7762-URZQH,0.00022606861738665645
TotalCharges_5118.95,0.00022605125779493908
TotalCharges_5769.6,0.0002254691763745207
TotalCharges_6871.9,0.00022508098474930262
Customers_1265-XTECC,0.0002248837843132197
Customers_1899-VXWXM,0.0002247612289291383
Customers_6179-GJPSO,0.00022444466085463392
Customers_9614-RMGHA,0.00022350282024772075
TotalCharges_5794.65,0.0002232946142751657
Customers_0748-RDGGM,0.0002232494601305971
TotalCharges_4594.95,0.00022298794842229197
Customers_2239-JALAW,0.00022293919666751763
Customers_1000-AJSLD,0.0002227114816714449
Customers_5458-CQJTA,0.0002226697593443865
Customers_2722-VOJQL,0.00022253994312186072
TotalCharges_7348.8,0.0002224049004146225
TotalCharges_2405.05,0.0002222799071401501
TotalCharges_74.7,0.0002222350616572893
TotalCharges_7690.9,0.0002222059018335687
TotalCharges_5435.6,0.00022208689457184236
TotalCharges_5356.45,0.00022170062537325505
Customers_4404-HIBDJ,0.0002216648270700837
TotalCharges_5426.85,0.00022151253617759816
Customers_7657-DYEPJ,0.0002208872670499383
TotalCharges_834.15,0.00022081872898010606
Customers_7599-FKVXZ,0.00022076468357730468
Customers_9170-GYZJC,0.00022052618796838464
TotalCharges_18.85,0.00022041605391021852
TotalCharges_84.6,0.00022020651932035888
TotalCharges_7220.35,0.0002201732759559804
Customers_7541-YLXCL,0.00021995130738231995
TotalCharges_7804.15,0.0002197349526053356
TotalCharges_4481,0.000219455489199205
TotalCharges_1254.7,0.0002191729457597567
Customers_8292-TYSPY,0.00021904381979436882
Customers_0112-QWPNC,0.00021897400785661727
Customers_9445-SZLCH,0.00021892383627791442
Customers_2207-OBZNX,0.00021888057618714042
Customers_2215-ZAFGX,0.00021857884503967645
TotalCharges_5275.8,0.0002185378843061256
Customers_0201-OAMXR,0.00021847767414118508
TotalCharges_389.1,0.00021809598341153771
TotalCharges_4059.35,0.00021809318153112129
Customers_3090-HAWSU,0.00021808738350791816
Customers_1623-NLDOT,0.00021787449292203658
TotalCharges_1422.05,0.00021774169349522801
TotalCharges_6341.45,0.00021761516615866766
Customers_8079-XRJRS,0.00021745092001703537
Customers_3351-NQLDI,0.00021734143338628188
TotalCharges_71.25,0.00021726187262058642
Customers_7854-EDSSA,0.00021708869159314402
Customers_5906-CVLHP,0.00021702663073639393
TotalCharges_5551.15,0.00021696372190715545
Customers_4760-XOHVN,0.00021693753031703903
Customers_5089-IFSDP,0.00021691054230779685
TotalCharges_3233.6,0.00021690626248880402
Customers_4913-EHYUI,0.00021683530851048552
